nrmatricol Nota
310440701RSL221110 5
310440701RSL221132 3,28
310440701RSL221143 3
310440701RSL221179 5,28
310440701RSL211190 3,85
310440701RSL221115 3,85
310440701RSL221131 2,71
310440701RSL221144 3,85
310440701RSL221138 3,85
310440701RSL221134 4,42
310440701RSL221163 7
310440701RSL221161 1,85
310440701RSL221151 6,71
310440701RSL221170 3
310440701RSL221136 3,85
310440701RSL221121 4,42
310440701RSL221152 4,42
310440701RSL221176 6,71
310440701RSL221120 8,42
310440701RSL221160 6,42
310440701RSL221119 3,28
310440701RSL221157 7,85
310440701RSL221183 4,71
310440701RSL221168 6,42
310440701RSL221123 4,14
310440701RSL221117 7
310440701RSL221186 4,71
310440701RSL221114 3,57
310440701RSL221178 5,57
310440701RSL221139 5,28
310440701RSL221140 7,28
310440701RSL221135 8,42
310440701RSL221125 5,57
310440701RSL221155 7
310440701RSL221184 7,85
310440701RSL221167 6,14
310440701RSL221126 7,85
310440701RSL221174 5,57
310440701RSL221173 7,28
310440701RSL221111 6,71
310440701RSL221112 8,42
310440701RSL221172 9
310440701RSL221159 9,57
310440701RSL221181 7,57
310440701RSL221116 3,57
310440701RSL221130 9
310440701RSL221164 7,28
310440701RSL221147 7,85
310440701RSL221165 8,71
310440701RSL221127 9,85
310440801RSL221109 2,42
310440801RSL221143 4,42
310440801RSL221105 4,14
310440801RSL221125 3,57
310440801RSL221017 3,57
310440801RSL221055 5,28
310440801RSL221123 3,28
310440801RSL221176 3,85
310440801RSL221065 4,14
310440801RSL221136 3
310440801RSL221004 2,14
310440801RSL221121 2,71
310440801RSL221062 3,28
310440801RSL221115 3,57
310440801RSL221193 4,71
310440801RSL221100 3,85
310440801RSL221093 5,28
310440801RSL221084 3,28
310440801RSL211163 2,14
310440801RSL221111 2,42
310440801RSL221051 5,57
310440801RSL221052 2,42
310440801RSL221016 3,57
310440801RSL221091 3
310440801RSL221189 4,14
310440801RSL221177 4,14
310440801RSL211185 2,71
310440801RSL221192 3,57
310440801RSL211006 1,85
310440801RSL221073 2,71
310440801RSL221171 3,57
310440801RSL221160 4,14
310440801RSL221178 3,57
310440801RSL221058 4,71
310440801RSL221169 5
310440801RSL221039 5,28
310440201RSL221131 6,14
310440801RSL221107 5
310440801RSL221179 5,28
310440801RSL221161 3,28
310440801RSL221086 5,57
310440801RSL221028 5,85
310440801RSL221180 6,14
310440801RSL221023 5
310440801RSL221008 4,71
310440801RSL221167 4,42
310440801RSL221070 6,14
310440801RSL221101 3,28
310440801RSL221153 2,71
310440201RSL221070 5,28
310440801RSL221064 5,57
310440801RSL221050 3,85
310440801RSL221054 3,85
310440801RSL221152 3,28
310440801RSL221183 3,85
310440801RSL221103 3,28
310440801RSL221081 4,14
310440301RSL221011 4,42
310440801RSL221159 4,71
310440801RSL221117 4,42
310440801RSL221079 5,85
310440801RSL221144 4,42
310440801RSL221157 2,42
310440801RSL221195 3,57
310440401RSL221061 1,85
310440701RSL221041 3,57
310440801RSL221181 3,28
310440801RSL221129 5,28
310440801RSL221020 4,42
310440801RSL221075 7,57
310440801RSL221030 6,71
310440801RSL221158 3,28
310440801RSL221137 4,42
310440801RSL221067 3
310440801RSL221150 5
310440801RSL221174 2,42
310440801RSL221098 5
310440801RSL221191 3
310440801RSL221025 5,28
310440801RSL221172 6,42
310440801RSL221185 2,71
310440801RSL221048 8,71
310440801RSL221097 4,14
310440801RSL221007 6,14
310440801RSL221056 5
310440401RSL221156 5,57
310440801RSL221198 3,57
310440801RSL221015 7
310440801RSL221034 10
310440801RSL221094 5,57
310440801RSL221071 3,57
310440801RSL221059 5,57
310440801RSL221186 4,14
310440801RSL221197 5
310440801RSL221163 4,71
310440801RSL221124 4,71
310440801RSL221035 6,14
310440801RSL221077 8,42
310440801RSL221102 4,71
310440801RSL221013 3,28
310440801RSL221014 4,42
310440801RSL221026 6,71
310440301RSL221142 3,28
310440801RSL221110 7,85
310440801RSL221002 5
310440801RSL221168 7,28
310440801RSL221021 4,71
310440801RSL221151 6,14
310440801RSL221072 3,85
310440801RSL221057 7
310440601RSL221064 9,57
310440801RSL221155 7,57
310440801RSL221043 6,14
310440801RSL221045 7
310440801RSL221024 3,57
310440801RSL221104 7,85
310440801RSL221092 5,57
310440801RSL221088 5,85
310440801RSL221164 4,71
310440801RSL221139 5
310440801RSL221119 5,28
310440801RSL221080 7,57
310440801RSL221037 4,71
310440801RSL221006 4,42
310440801RSL221187 6,71
310440801RSL221201 3,57
310440501RSL221141 5,28
310440501RSL221009 4,71
310440401RSL221149 3,57
310440501RSL221048 3,57
310440301RSL221109 6,71
310440501RSL211044 3
310440501RSL221135 7,28
310440501RSL221020 4,42
310440501RSL221171 7,85
310440501RSL221054 3,85
310440501RSL221109 5,28
310440501RSL221075 10
310440501RSL232008 5,85
310440501RSL221043 4,71
310440501RSL221095 10
310440501RSL221107 8,14
310440501RSL221189 6,71
310440501RSL221062 9
310440501RSL201180 5
310440501RSL221190 7,28
310440501RSL221059 4,14
310440501RSL221073 7,57
310440501RSL221017 4,71
310440501RSL211104 2,42
310440501RSL221179 6,71
310440501RSL221061 6,42
310440501RSL221166 7,28
310440501RSL221160 7
310440501RSL221136 7,28
310440501RSL221138 4,71
310440501RSL221091 6,71
310440501RSL221081 8,14
310440501RSL221115 2,42
310440501RSL221036 3,57
310440501RSL221182 7,28
310440501RSL221015 9,28
310440501RSL221146 5,85
310440501RSL221175 7,28
310440501RSL221097 9
310440501RSL221188 6,42
310440601RSL221032 7,57
310440501RSL221032 7,28
310440501RSL221037 6,71
310440501RSL221156 7
310440301RSL221025 6,42
310440501RSL221118 4,14
310440501RSL221057 3
310440501RSL221086 3,57
310440501RSL211157 2,42
310440501RSL221104 9,85
310440501RSL221111 5,57
310440501RSL232900 4,42
310440501RSL221133 3,57
310440501RSL221172 5,85
310440501RSL221123 3,85
310440501RSL221145 3,85
310440501RSL221121 8,71
310440501RSL221074 7,57
310440501RSL221187 8,42
310440501RSL221001 4,71
310440501RSL221031 6,42
310440501RSL221077 8,71
310440501RSL221039 9,57
310440501RSL221150 9,85
310440501RSL221110 8,71
310440501RSL211160 6,42
310440701RSL221072 10
310440501RSL221162 10
310440501RSL221154 10
310440401RSL221056 10
310440501RSL221101 6,42
310440501RSL221079 4,42
310440501RSL221076 9,85
310440801RSL221135 9,85
310440501RSL221003 8,71
310440501RSL211083 9
310440501RSL221011 10
310440201RSL221066 7,85
310440501RSL221149 9,57
310440501RSL221033 10
310440501RSL221168 6,71
310440501RSL221177 9,57
310440701RSL221109 3,57
310440501RSL221144 8,42
310440501RSL221126 8,71
310440501RSL221186 5,57
310440501RSL221046 9,85
310440501RSL221185 9,57
310440501RSL221139 7,85
310440801RSL221033 3,57
310440501RSL221106 6,71
310440501RSL221012 8,42
310440501RSL221181 9,85
310440501RSL221024 7,57
310440501RSL221029 5,57
310440401RSL221201 9,28
310440501RSL221014 8,14
310440201RSL221167 7,85
310440501RSL221124 7,28
310440401RSL221080 9,85
310440501RSL221178 8,42
310440501RSL221045 7,85
310440401RSL221190 6,71
310440501RSL221064 7,85
310440401RSL221001 6,42
310440501RSL221128 5
310440501RSL221094 9,28
310440501RSL221007 7,57
310440501RSL221040 4,71
310440501RSL221023 5,85
310440501RSL221099 6,14
310440501RSL221096 7,85
310440401RSL221132 9,28
310440501RSL221108 8,42
310440501RSL221105 8,71
310440501RSL221084 10
310440501RSL221142 7,85
310440501RSL221004 5
310440501RSL221082 9,85
310440501RSL221041 6,71
310440501RSL221072 5,57
310440501RSL221129 10
310440501RSL221044 7,28
310440501RSL221080 8,42
310440701RSL221187 6,14
310440501RSL221071 7,85
310440501RSL221025 7,28
310440501RSL221197 7
310440501RSL221060 9,28
310440501RSL221120 8,42
310440501RSL221137 8,14
310440501RSL221008 7,57
310440501RSL221070 7
310440501RSL221117 5,85
310440501RSL221078 5,28
310440501RSL221158 8,42
310440501RSL221006 7,85
310440501RSL221002 7,85
310440501RSL221090 9
310440501RSL221173 9
310440501RSL221051 7
310440501RSL221143 5,28
310440501RSL221022 8,42
310440501RSL221042 7,57
310440501RSL221093 8,71
310440501RSL221119 5,57
310440501RSL221055 5,85
310440501RSL221058 7,57
310440501RSL221066 9,57
310440501RSL221098 7,85
310440501RSL221165 5
310440501RSL221155 9
310440501RSL221132 9
310440501RSL232081 6,14
310440501RSL221167 7
310440501RSL221021 8,71
310440801RSL221082 7,85
310440501RSL221027 4,14
310440501RSL221102 7
310440501RSL221028 7,57
310440601RSL221103 5
310440501RSL221088 7
310440501RSL221068 5
310440501RSL221176 9,57
310440501RSL221125 9
310440501RSL221085 7,57
310440501RSL221157 7,28
310440501RSL221047 9,28
310440401RSL221015 7,85
310440501RSL221196 8,71
310440501RSL221083 7,85
310440501RSL221170 6,14
310440501RSL221065 8,14
310440501RSL221010 6,14
310440501RSL221005 9
310440501RSL221148 9,85
310440501RSL221034 7,85
310440501RSL221140 7,28
310440501RSL221112 7,28
310440501RSL221122 6,14
310440501RSL232162 5
310440501RSL221049 9
310440501RSL221151 10
310440501RSL221038 8,42
310440701RSL221062 3,57
310440701RSL221059 3,85
310440601RSL211061 2,71
310440701RSL211030 3,57
310440701RSL221063 5,28
310440701RSL221015 3,57
310440701RSL221031 4,14
310440701RSL221060 1,85
310440701RSL221064 6,71
310440701RSL221045 8,42
310440701RSL221039 4,71
310440701RSL221030 4,14
310440701RSL221011 5,57
310440701RSL221016 5,28
310440701RSL221003 7,28
310440701RSL221061 3,85
310440701RSL221053 6,14
310440701RSL221049 4,14
310440701RSL221076 5
310440701RSL221082 9
310440701RSL221065 7,28
310440701RSL221025 4,71
310440701RSL221023 6,42
310440701RSL221054 4,14
310440701RSL221033 4,42
310440701RSL221036 4,71
310440701RSL221074 7
310440701RSL221068 5,85
310440701RSL221050 5,57
310440701RSL221057 6,71
310440701RSL221058 3,85
310440701RSL221051 7
310440701RSL221021 5
310440701RSL221079 4,71
310440701RSL221013 7,85
310440701RSL221070 5,85
310440701RSL221017 3,28
310440701RSL221085 7,28
310440701RSL221027 7
310440701RSL221056 7,28
310440701RSL221052 10
310440401RSL221033 4,42
310440701RSL221005 4,71
310440701RSL221047 6,71
310440701RSL221028 7,28
310440701RSL221010 8,42
310440701RSL221029 4,14
310440201RSL221036 5,57
310440201RSL221044 3,28
310440701RSL221040 4,42
310440701RSL221077 3,85
310440701RSL221018 6,42
310440701RSL221055 5
310440701RSL221012 4,14
310440201RSL221023 3,28
310440201RSL221030 3,57
310440201RSL211002 4,14
310440201RSL221224 3,57
310440201RSL221035 3,28
310440201RSL221040 3,85
310440201RSL211090 3,85
310440401RSL221110 3,85
310440201RSL221011 7,57
310440201RSL221062 4,14
310440201RSL221045 4,14
310440201RSL221094 5,57
310440601RSL221073 8,42
310440201RSL221055 9,85
310440201RSL221033 9,57
310440201RSL221016 4,14
310440201RSL221003 3,85
310440201RSL221084 4,42
310440401RSL221082 5,57
310440201RSL221074 8,14
310440201RSL221104 5,28
310440201RSL221068 6,14
310440201RSL221100 10
310440201RSL221098 2,42
310440401RSL221063 4,42
310440201RSL221042 9
310440201RSL221051 9
310440201RSL221039 4,71
310440201RSL221047 6,42
310440201RSL221053 5,57
310440801RSL221040 8,71
310440201RSL221081 5,28
310440201RSL221082 5
310440201RSL221080 8,71
310440201RSL221092 7
310440201RSL221056 5,28
310440201RSL221099 6,14
310440201RSL221021 9,28
310440201RSL221095 8,42
310440201RSL221103 6,71
310440201RSL221017 6,42
310440201RSL221031 5,57
310440201RSL221037 5,85
310440201RSL221007 7,28
310440201RSL221008 4,71
310440201RSL221078 9
310440201RSL221028 6,42
310440201RSL221086 8,14
310440201RSL221102 5,28
310440201RSL221012 6,71
310440201RSL221046 4,71
310440201RSL221101 5,85
310440201RSL221010 9,28
310440201RSL221064 5,85
310440301RSL221055 3,57
310440301RSL221017 2,14
310440301RSL221004 3,28
310440301RSL221046 3
310440301RSL211161 4,71
310440301RSL211006 2,71
310440301RSL201131 1,85
310440301RSL221008 3,85
310440301RSL221099 3
310440401RSL211210 3,85
310440301RSL211149 2,71
310440301RSL201146 2,42
310440301RSL221002 5,57
310440301RSL221116 4,14
310440301RSL211132 5
310440301RSL221027 3,85
310440301RSL221028 4,14
310440301RSL221088 5
310440301RSL221102 3,57
310440301RSL221044 4,42
310440301RSL221059 2,42
310440301RSL221132 3,57
310440301RSL211150 3,28
310440301RSL181151 3,28
310440301RSL221094 4,14
310440301RSL221124 4,71
310440301RSL221048 2,42
310440301RSL221068 4,42
310440301RSL221074 3,57
310440301RSL211130 5,85
310440301RSL191156 3,28
310440301RSL221001 4,42
310440301RSL221134 5
310440301RSL221128 5,57
310440301RSL221057 3
310440301RSL221089 5,57
310440301RSL221121 3,57
310440301RSL221061 3,28
310440301RSL221045 2,71
310440301RSL201502 4,71
310440301RSL221130 3
310440301RSL221067 5,85
310440301RSL221030 5,28
310440301RSL221056 4,42
310440301RSL221072 5,28
310440301RSL221016 4,71
310440301RSL221110 3,57
310440301RSL221054 5
310440301RSL221042 4,14
310440301RSL211050 5
310440301RSL221115 3,57
310440301RSL211096 5
310440301RSL221069 6,42
310440301RSL221007 3,57
310440301RSL221062 7
310440301RSL221083 3
310440301RSL221086 8,71
310440301RSL221005 7,85
310440301RSL221058 3,85
310440301RSL221119 7,85
310440301RSL221079 9,85
310440301RSL221060 5,85
310440301RSL221066 4,42
310440301RSL221018 3,57
310440301RSL221031 6,14
310440301RSL221020 7
310440301RSL221138 5,57
310440301RSL221137 5,28
310440301RSL221037 9,28
310440301RSL221051 3,85
310440301RSL221081 3,57
310440301RSL221092 5
310440301RSL221026 8,71
310440301RSL221108 6,71
310440301RSL221034 6,14
310440301RSL221140 8,71
310440301RSL221123 3,57
310440301RSL221012 7
310440301RSL221015 4,14
310440301RSL221120 5,85
310440301RSL221032 6,14
310440301RSL221112 9,85
310440301RSL211029 5
310440401RSL221189 2,71
310440401RSL221232 3
310440401RSL221022 3,85
310440201RSL221060 2,42
310440401RSL221140 3,57
310440401RSL221162 4,71
310440401RSL221194 3,85
310440401RSL221029 5,28
310440401RSL221064 2,42
310440401RSL221170 5,28
310440401RSL221125 4,42
310440401RSL221031 2,42
310440401RSL221084 3
310440401RSL221199 4,71
310440401RSL221120 4,42
310440401RSL221005 3,28
310440401RSL221228 9,85
310440401RSL221196 4,42
310440401RSL221075 3,57
310440401RSL221142 4,42
310440401RSL221139 6,71
310440401RSL221101 5,28
310440401RSL221077 5,28
310440401RSL221119 7
310440401RSL221087 6,42
310440201RSL221136 4,71
310440401RSL221085 5,28
310440401RSL221091 5,28
310440401RSL221192 9,57
310440401RSL221071 9,57
310440401RSL221048 6,14
310440401RSL221206 9,57
310440401RSL221054 9
310440401RSL221137 5,28
310440401RSL221035 4,14
310440401RSL221004 5,28
310440401RSL221037 7,85
310440401RSL221030 4,14
310440401RSL221019 7,28
310440401RSL221025 5
310440401RSL221023 8,42
310440401RSL221135 5
310440401RSL221158 5,57
310440401RSL221184 8,71
310440702RSL221060 5,57
310440401RSL221016 5
310440401RSL221081 5
310440401RSL221010 8,42
310440401RSL221175 8,71
310440401RSL221127 6,71
310440401RSL221096 10
310440401RSL221159 3
310440401RSL221141 6,42
310440401RSL221185 5,28
310440401RSL221057 7
310440401RSL221123 7
310440401RSL221013 6,42
310440401RSL221233 3,85
310440401RSL221195 6,71
310440401RSL221028 5,85
310440401RSL221143 5,28
310440401RSL221210 5,28
310440401RSL221188 2,42
310440401RSL221226 6,71
310440401RSL221163 4,42
310440401RSL221095 5,57
310440401RSL221130 4,42
310440401RSL221043 7,57
310440401RSL221182 5,57
310440401RSL221202 4,42
310440401RSL221191 5
310440401RSL221236 9,57
310440401RSL221186 6,42
310440401RSL221161 5
310440401RSL221069 4,14
310440401RSL221047 6,14
310440401RSL221198 4,42
310440401RSL221209 10
310440401RSL221068 7,85
310440401RSL221026 4,42
310440401RSL221211 5
310440401RSL221027 6,14
310440401RSL221107 4,71
310440401RSL221103 9
310440401RSL221167 6,14
310440201RSL221128 7,28
310440401RSL221104 4,14
310440401RSL221018 5,85
310440401RSL221150 5
310440401RSL221131 6,14
310440401RSL221128 4,14
310440201RSL221189 9
310440401RSL211012 3,28
310440401RSL221060 3,28
310440401RSL221058 4,71
310440401RSL221116 5,28
310440401RSL221152 10
310440401RSL221224 5,85
310440401RSL221203 8,42
310440401RSL221108 3,28
310440401RSL221073 9,85
310440401RSL221183 9
310440401RSL221165 3
310440401RSL221089 6,42
310440401RSL221174 8,42
310440401RSL221225 9
310440401RSL221055 6,14
310440401RSL221222 5,28
310440401RSL221160 8,14
310440401RSL221114 5,28
310440401RSL221204 6,42
310440401RSL221076 4,14
310440401RSL221021 4,71
310440401RSL221215 9
310440401RSL221078 9,28
310440401RSL221154 5,28
310440401RSL221050 6,42
310440401RSL221208 8,42
310440401RSL221112 4,71
310440401RSL221221 9,28
310440401RSL221133 4,71
310440401RSL221205 4,71
310440401RSL221197 5,28
310440401RSL221040 4,42
310440401RSL221094 6,42
310440401RSL221146 5
310440401RSL221151 6,71
310440401RSL221072 7,57
310440401RSL221105 6,42
310440401RSL221117 3,28
310440401RSL221052 3,57
310440401RSL221098 5,28
310440401RSL221042 4,71
310440401RSL221017 9,28
310440401RSL221238 5,28
310440401RSL221179 6,71
310440401RSL221079 7
310440401RSL221039 4,71
310440201RSL221065 5,57
310440401RSL221169 3,28
310440401RSL221187 4,71
310440401RSL221051 8,71
310440401RSL221155 5,57
310440401RSL221065 4,14
310440401RSL221237 3,28
310440401RSL221109 7
310440401RSL221111 9,85
310440401RSL221074 9,85
310440401RSL221148 5,28
310440401RSL221122 5
310440401RSL221176 5
310440401RSL221157 3
310440401RSL221006 4,14
310440401RSL221223 3,85
310440401RSL221007 6,42
310440301RSL221039 5,28
310440401RSL221231 4,14
310440401RSL221083 7,28
310440401RSL221014 4,14
310440401RSL221066 6,14
310440201RSL221168 4,71
310440401RSL221138 4,71
310440401RSL221032 4,71
310440401RSL221092 8,42
310440401RSL221041 6,71
310440401RSL221134 7,57
310440401RSL221020 4,42
310440301RSL211113 5,85
310440401RSL221067 7,28
310440401RSL221164 4,14
310440401RSL221177 4,14
310440401RSL221234 4,71
310440401RSL221038 8,14
310440401RSL221086 3,57
310440401RSL221168 5
310440701RSL211139 3,28
310440401RSL221099 4,14
310440701RSL221105 4,14
310440701RSL221099 4,71
310440701RSL221095 3,28
310440701RSL211161 3,57
310440401RSL211117 3,57
310440801RSL191126 4,14
310440801RSL211096 2,71
310440201RSL221211 3,85
310440401RSL211188 3,28
310440801RSL211035 5,57
310440201RSL221221 3
310440801RSL201506 4,14
310440401RSL211135 3,85
310440701RSL211126 4,71
310440401RSL211161 3,85
310440701RSL221108 4,14
310440201RSL221199 5,57
310440401RSL211153 7,85
310440701RSL211024 3,28
310440601RSL191155 9
310440201RSL211224 3,85
310440701RSL221087 7
310440401RSL201006 5,57
310440201RSL221207 2,42
310440201RSL211156 3,28
310440701RSL211108 5
310440401RSL211171 3,57
310440801RSL211131 7,28
310440501RSL211001 4,42
310440401RSL211162 5
310440701RSL221088 9,57
310440201RSL221214 7,28
310440201RSL221213 5,85
310440201RSL211076 3,57
310440601RSL201128 6,42
310440201RSL221201 5,57
310440701RSL221094 8,14
310440701RSL221100 3,57
310440201RSL221209 5,85
310440701RSL221103 5,28
310440201RSL221217 7,28
310440201RSL221200 8,14
310440801RSL211088 5
310440201RSL221202 5
310440701RSL221092 5,57
310440201RSL221210 4,14
310440201RSL221215 3
310440401RSL221216 6,71
310440201RSL221222 7,28
310440201RSL221204 7,85
310440701RSL221106 4,42
310440701RSL221104 7,57
310440701RSL221102 4,71
310440201RSL221216 8,14
310440201RSL221205 7
310440701RSL221086 7,28
310440701RSL221098 7,28
310440301RSL221141 4,14
